no_individuals,no_markers,time_PyMSQ,time_gamevar,peak_memory_usage_PyMSQ,peak_memory_usage_gamevar
35000,1000,24.15,698.781982,2.011562347,0.014362335
35000,1000,24.15,682.56897,2.011882782,0.014503479
35000,1000,24.19,698.039001,2.006141663,0.014137268
35000,1000,24.14,666.872986,2.00687027,0.014308929
40000,1000,28.19,770.041992,2.220428467,0.014415741
40000,1000,28.18,778.356018,2.225204468,0.014278412
40000,1000,28.19,774.671021,2.227218628,0.014209747
40000,1000,28.18,778.835022,2.232025146,0.014278412
40000,1000,28.19,781.955017,2.232063293,0.014217377
40000,1000,28.19,798.481995,2.232685089,0.014217377
40000,1000,30.19,777.859985,2.23261261,0.014533997
40000,1000,28.19,764.22699,2.236820221,0.014213562
40000,1000,28.18,775.760986,2.237545013,0.014404297
40000,1000,28.19,788.960999,2.234851837,0.014404297
45000,1000,30.36,869.841003,2.450305939,0.014350891
45000,1000,30.32,879.333008,2.455951691,0.014270782
45000,1000,32.19,877.838989,2.459655762,0.014434814
45000,1000,32.19,891.653015,2.462558746,0.014434814
45000,1000,30.45,891.995972,2.467758179,0.014511108
45000,1000,30.41,904.02301,2.471298218,0.014358521
45000,1000,32.35,870.257996,2.474578857,0.014511108
45000,1000,32.17,877.109009,2.475921631,0.014358521
45000,1000,32.19,885.721008,2.480373383,0.014358521
45000,1000,30.45,859.185974,2.484546661,0.014381409
50000,1000,36.28,967.616028,2.699531555,0.01448822
50000,1000,34.26,975.849976,2.705562592,0.014347076
50000,1000,34.27,966.111023,2.708335876,0.014610291
50000,1000,34.23,994.283997,2.712696075,0.014389038
50000,1000,34.23,990.182007,2.69675827,0.014606476
50000,1000,36.22,984.900024,2.703731537,0.014476776
50000,1000,34.23,961.104004,2.705844879,0.014480591
50000,1000,34.22,992.03302,2.710468292,0.014476776
50000,1000,34.27,962.95697,2.704124451,0.014270782
50000,1000,34.27,967.377014,2.704849243,0.014305115
55000,1000,38.26,1079.11499,2.920513153,0.014347076
55000,1000,38.26,1072.36902,2.927433014,0.014347076
55000,1000,38.26,1076.65698,2.936058044,0.014431
55000,1000,40.26,1070.47205,2.938247681,0.014442444
55000,1000,38.24,1080.23206,2.930221558,0.014499664
55000,1000,40.27,1052.33704,2.930282593,0.014511108
55000,1000,40.25,1065.20801,2.930343628,0.014511108
55000,1000,38.24,1088.66895,2.928009033,0.014526367
55000,1000,38.26,1058.39905,2.930545807,0.014324188
55000,1000,38.22,1048.422,2.933227539,0.014644623
60000,1000,42.55,1132.86902,3.150173187,0.01455307
60000,1000,42.27,1148.66602,3.154575348,0.014564514
60000,1000,42.59,1167.13306,3.15612793,0.014545441
60000,1000,42.24,1170.32605,3.157493591,0.014545441
60000,1000,42.26,1179.94897,3.164142609,0.014362335
60000,1000,40.54,1156.41797,3.164802551,0.014545441
60000,1000,42.57,1154.46497,3.16733551,0.014549255
60000,1000,40.51,1160.38794,3.167575836,0.01455307
60000,1000,40.59,1158.104,3.171886444,0.014465332
60000,1000,42.26,1198.28296,3.17640686,0.014537811
65000,1000,46.3,1263.14697,3.392532349,0.014530182
65000,1000,44.29,1275.38904,3.400119781,0.014347076
65000,1000,46.36,1255.91003,3.402687073,0.014530182
65000,1000,46.3,1288.15295,3.38407135,0.01442337
65000,1000,46.3,1280.00598,3.384529114,0.014667511
65000,1000,44.29,1279.974,3.391181946,0.014362335
65000,1000,46.3,1274.38098,3.391628265,0.014362335
65000,1000,46.3,1269.75098,3.391941071,0.014602661
65000,1000,46.3,1262.42395,3.396652222,0.014602661
65000,1000,46.3,1237.50903,3.396953583,0.014457703
