no_individuals,no_markers,time,peak_memory_usage
50000,1000,131.64,17.10502243
50000,1000,131.69,16.82672501
50000,1000,131.67,16.81659698
50000,1000,131.67,16.81678009
50000,1000,132.04,16.8169136
50000,1000,131.61,16.81704712
50000,1000,131.73,16.81642914
55000,1000,157.34,19.78512955
55000,1000,157.54,21.53804779
55000,1000,157.34,21.46492004
55000,1000,157.51,21.57292557
55000,1000,157.4,21.21187592
55000,1000,157.4,21.42525101
55000,1000,157.42,20.51860046
55000,1000,157.46,21.44343567
55000,1000,157.31,21.41480637
55000,1000,157.39,21.45407486
60000,1000,185.04,25.22329712
60000,1000,184.74,26.2962532
60000,1000,182.68,26.29559708
60000,1000,184.88,26.29541397
60000,1000,182.85,26.29412842
60000,1000,182.64,26.31303024
60000,1000,184.07,24.51092148
60000,1000,184.08,24.24654388
60000,1000,182.72,26.29008865
60000,1000,182.88,26.2801857
65000,1000,213.6,28.64162445
65000,1000,213.41,29.80595016
65000,1000,212.92,27.76615906
65000,1000,213.66,29.80113602
65000,1000,213.59,29.8083992
65000,1000,213.77,29.80778885
65000,1000,212.89,27.64245987
65000,1000,213.46,29.80374527
65000,1000,213.47,29.80652618
65000,1000,213.47,29.80408478
70000,1000,244.94,32.62922668
70000,1000,245,34.07662201
70000,1000,244.66,33.90149307
70000,1000,244.68,34.09632111
70000,1000,244.7,34.07141113
70000,1000,244.75,33.68227768
70000,1000,242.59,33.57141113
70000,1000,242.69,33.56699753
70000,1000,243.17,33.56750488
70000,1000,243.25,33.5708313
75000,1000,278.3,36.23833466
75000,1000,278.2,37.6099205
75000,1000,277.53,37.59857559
75000,1000,276.93,37.10565186
75000,1000,273.05,37.68707657
75000,1000,275.04,37.42158508
75000,1000,276.4,38.86042786
75000,1000,275.01,37.65413284
75000,1000,276.65,37.62582779
75000,1000,274.74,37.70620346
80000,1000,319.07,44.4430275
80000,1000,316.7,45.96304703
80000,1000,313.63,46.0443573
80000,1000,314.76,46.04191971
80000,1000,315.79,42.26313782
80000,1000,315.56,42.59640884
80000,1000,315.58,42.64696121
80000,1000,314.63,46.0329895
80000,1000,315.5,46.06193924
80000,1000,313.77,45.20556259
85000,1000,349.73,49.05006027
85000,1000,349.63,50.64580154
85000,1000,350.1,50.65549469
85000,1000,348.81,49.89787292
85000,1000,351.03,50.63021469
85000,1000,352.35,50.64655304
85000,1000,351.12,50.64897919
85000,1000,355.46,50.3887291
85000,1000,352.41,50.63711166
85000,1000,357.33,51.40418625
90000,1000,387.41,54.0206604
90000,1000,387.7,55.3299408
90000,1000,390.79,55.71180725
90000,1000,386.18,55.68419647
90000,1000,386.15,55.67878723
90000,1000,386.05,55.68850708
90000,1000,388.89,55.6532402
90000,1000,386.75,55.76018906
90000,1000,393.07,55.33688736
90000,1000,393.48,55.309021
95000,1000,436.43,58.57073593
95000,1000,436.16,60.39788055
95000,1000,429.63,60.69033813
95000,1000,426.92,60.6892395
95000,1000,427.32,60.67602921
95000,1000,426.88,60.54006958
95000,1000,427.51,60.6662674
95000,1000,427.69,60.69598389
95000,1000,425.03,60.75825882
95000,1000,425.61,60.75585175
100000,1000,469.42,64.30435562
100000,1000,473.72,70.36215973
100000,1000,471.29,70.27960587
100000,1000,472.43,70.29292679
100000,1000,486.54,69.85872269
100000,1000,479.41,70.04066467
100000,1000,479.49,69.91536713
100000,1000,479.55,69.89768982
100000,1000,474.92,70.46019363
100000,1000,470.8,70.36181641
